file_name,genre,mfcc_1_mean,mfcc_2_mean,mfcc_3_mean,mfcc_4_mean,mfcc_5_mean,mfcc_6_mean,mfcc_7_mean,mfcc_8_mean,mfcc_9_mean,mfcc_10_mean,mfcc_11_mean,mfcc_12_mean,mfcc_13_mean,mfcc_1_std,mfcc_2_std,mfcc_3_std,mfcc_4_std,mfcc_5_std,mfcc_6_std,mfcc_7_std,mfcc_8_std,mfcc_9_std,mfcc_10_std,mfcc_11_std,mfcc_12_std,mfcc_13_std,chroma_1_mean,chroma_2_mean,chroma_3_mean,chroma_4_mean,chroma_5_mean,chroma_6_mean,chroma_7_mean,chroma_8_mean,chroma_9_mean,chroma_10_mean,chroma_11_mean,chroma_12_mean,chroma_1_std,chroma_2_std,chroma_3_std,chroma_4_std,chroma_5_std,chroma_6_std,chroma_7_std,chroma_8_std,chroma_9_std,chroma_10_std,chroma_11_std,chroma_12_std,spectral_centroid_mean,spectral_centroid_std,spectral_contrast_mean,spectral_contrast_std,tonnetz_mean,tonnetz_std,rms_mean,rms_std,zcr_mean,zcr_std
Similar_Ballade_00452_Cover_Genre_A.wav,Ballade,-56.14111,90.43028,9.702078,15.721109,-0.47994247,0.8627383,-10.227521,-0.4679952,-8.50594,0.028236242,-2.5496995,4.2788806,2.947039,124.91804,36.2407,19.411901,14.440836,12.258645,15.181321,13.283075,11.606317,11.601773,9.238327,7.6493506,6.9921823,8.806997,0.28028828,0.15291563,0.31363502,0.25357875,0.17935991,0.34854034,0.21306351,0.38710704,0.22786258,0.53323835,0.61455935,0.3112264,0.31222975,0.13602886,0.2637203,0.23158722,0.14656089,0.3458749,0.14319739,0.33753413,0.15929687,0.32483885,0.3556175,0.2325324,1611.8473433809015,615.2088259326531,23.5102309348472,8.615982973057319,0.04072160481783406,0.19840436486085927,0.28065234,0.10146626,0.08628366954291045,0.03848127834254545
Similar_Ballade_00464_Cover_Genre_A.wav,Ballade,-192.63293,114.04385,17.224571,5.6600466,5.9338264,7.4559174,-6.141332,6.1538324,-4.2295747,7.595508,1.2760555,8.790071,-1.3115088,85.09991,37.716637,21.913916,15.657616,11.605514,11.007526,9.777827,11.900112,11.677727,13.191193,12.474719,9.9106,8.852855,0.34338757,0.3006708,0.41753837,0.3306402,0.31929615,0.33487603,0.23468167,0.2843863,0.2638736,0.5297995,0.46070248,0.29398522,0.34336907,0.30268413,0.344294,0.28073424,0.2611557,0.28424394,0.20186599,0.2772931,0.20428436,0.35820964,0.33124924,0.26636386,1330.9912354496662,656.5327093142238,23.644850332694915,7.569127563531023,0.021600070176306573,0.19619918559806013,0.11494502,0.059890512,0.07511176330956823,0.031355948842225694
Similar_Ballade_00232_Cover_Genre_A.wav,Ballade,-124.55728,95.32836,-9.202214,31.275772,-8.372227,9.187623,-7.768172,0.38635728,-7.071205,-1.9721366,-10.659372,-2.4320529,-9.814145,49.899605,16.581255,11.191206,11.521032,9.727353,8.943945,9.105333,7.9571433,7.8616395,9.335544,7.56178,9.847567,10.356718,0.30208635,0.25995836,0.45831975,0.24491422,0.36281002,0.16690324,0.42333215,0.6379898,0.22058968,0.3593249,0.19835046,0.45922127,0.27338454,0.19859695,0.30683222,0.18747105,0.30881375,0.14123586,0.30351374,0.33057562,0.10116057,0.3318632,0.105109714,0.3236117,1535.6587754036605,230.00168565633882,28.113278130350324,6.641561824825383,0.07673644778218344,0.22972868362750357,0.10064372,0.035412006,0.13448738797641258,0.0403040339313037
Similar_Ballade_00463_Cover_Genre_A.wav,Ballade,-208.4125,110.27686,-23.984953,34.171947,-5.5253267,-1.3021996,-12.906604,-4.0842505,-7.2154613,-2.149083,-4.0602636,-2.3983808,-9.288431,85.35321,28.79476,11.921314,11.986823,10.982038,11.377,10.097742,9.454014,8.334444,8.485965,9.681976,10.930958,12.521605,0.37584415,0.20833549,0.35387075,0.16951811,0.41228503,0.3301923,0.2343979,0.38478577,0.20126708,0.369829,0.15917881,0.3335879,0.3386287,0.19890732,0.3790332,0.122299984,0.34725097,0.33227736,0.21328315,0.34554628,0.14972,0.35799253,0.12898839,0.3175401,1242.1633912613977,285.7997109741528,29.488728547934656,6.280574201320195,0.09152040528889104,0.2514712526648554,0.08209211,0.040754665,0.11321670109275053,0.043099401940011633
Similar_Ballade_00098_Cover_Genre_A.wav,Ballade,-190.53914,114.56978,-7.7403197,16.924612,1.5354013,7.347974,-3.9346504,8.844225,-2.7960079,1.0980768,-5.8330545,-4.8492756,-8.193847,79.854095,34.413456,20.124598,13.450824,12.169073,11.35852,10.816455,13.996435,13.058589,11.664035,10.919096,12.020514,10.080066,0.19818458,0.28899887,0.349033,0.22602008,0.36501038,0.26204407,0.39636764,0.3620068,0.3025193,0.4448396,0.31415933,0.32909194,0.21518055,0.28479457,0.31837124,0.2192102,0.35509652,0.21522596,0.3242905,0.319989,0.2749068,0.36387852,0.24824114,0.31453592,1274.7673562973312,605.9470626095114,25.83130282724717,7.291906197833519,0.04842366357177893,0.21325909885950003,0.09873446,0.055741105,0.07924705781916311,0.046381949162889236
Similar_Ballade_00408_Cover_Genre_A.wav,Ballade,-160.3766,122.812164,25.486832,19.43921,8.891933,4.6217904,-6.3265386,-1.5081804,-6.477127,0.21243566,-5.6746984,0.06744222,-4.1003776,59.702297,31.976849,21.935852,13.962194,11.245511,8.729133,8.658822,8.9930105,11.391692,9.235135,8.790621,8.168375,7.8388896,0.29451245,0.31123662,0.30392957,0.40874615,0.28251755,0.3552939,0.33194968,0.31132647,0.38483986,0.30840036,0.4576632,0.30011794,0.2482814,0.275287,0.2499016,0.34080637,0.22174993,0.2982194,0.26912975,0.2787725,0.34452358,0.27877352,0.36026338,0.2687961,1266.1668530960433,524.0372861614676,23.640513297631905,7.214948109811778,-0.029741910542136304,0.20609100731366248,0.11682866,0.057573646,0.07400844549573561,0.0300039672758925
Similar_Ballade_00292_Cover_Genre_A.wav,Ballade,-114.623566,87.70807,-12.291186,43.202454,-6.6528215,6.7788067,-8.646595,-5.2109637,-16.241026,-8.812845,-14.341124,-1.9596703,-8.939871,33.418446,16.91746,10.291942,8.995821,8.482561,7.432752,8.472338,10.318322,10.557081,9.087175,12.968729,12.072455,11.463951,0.17714708,0.28464228,0.4940639,0.18284051,0.2712047,0.305826,0.17860995,0.18988183,0.16262107,0.41998267,0.20016757,0.09978137,0.25788668,0.2643197,0.39396036,0.13917573,0.29489002,0.3309992,0.22718826,0.30472395,0.1643608,0.36202604,0.21622889,0.17184006,1409.4180231257005,247.4600986125883,29.193474672185904,5.478741975045214,0.010883932264255157,0.3144292836383196,0.18895386,0.038339935,0.09738217742204158,0.0342938368567453
Similar_Ballade_00062_Cover_Genre_A.wav,Ballade,-71.44622,64.75243,18.537132,25.442793,13.519823,4.940151,0.69581324,0.7454132,-2.4546251,2.4926088,-4.2026114,2.7123961,-5.256893,49.31951,31.178381,16.048822,15.421126,9.727207,9.1080885,8.990326,6.9179077,8.130702,7.000545,7.772514,7.133907,8.028457,0.45481417,0.28998297,0.3420122,0.36251432,0.23085025,0.31062847,0.31986845,0.41863188,0.385187,0.48823994,0.74197215,0.4797846,0.2868044,0.19075103,0.26844922,0.25604844,0.1608433,0.24755587,0.23260692,0.2535001,0.24465664,0.27878225,0.3225775,0.24950248,2188.6869673257133,737.9236191839617,23.83857679816265,9.354170448494221,-0.009882153427424824,0.10253003127082666,0.16150677,0.06678844,0.13916301930636993,0.07471117426135801
Similar_Ballade_00406_Cover_Genre_A.wav,Ballade,-252.8837,143.16463,35.12058,20.167599,4.032761,-3.6482475,-4.036476,-5.6855855,-11.516163,-3.588902,-5.319816,-3.3132172,-4.7761083,108.048706,36.308098,20.087925,11.818836,10.035415,19.670422,9.438095,10.484742,11.255694,13.863634,10.641802,10.6308365,8.372434,0.38138542,0.19021365,0.26138237,0.16011363,0.32949498,0.24818458,0.24540395,0.43076214,0.31370905,0.3051558,0.1841899,0.30024618,0.32472715,0.20111127,0.32005602,0.1777684,0.3312755,0.23077226,0.2191497,0.3903251,0.2603406,0.3401004,0.21904503,0.31566644,781.4350167490137,385.79052773365464,25.279427265547504,6.998114860244537,0.10156991856946125,0.26884789722275904,0.11184937,0.06724431,0.05642121077092217,0.0348527541359263
Similar_Ballade_00096_Cover_Genre_A.wav,Ballade,-143.85408,97.082,13.492036,21.325483,5.9543085,13.285126,4.992625,7.2792125,1.9225725,5.130661,0.23571816,5.234004,0.41167796,104.773026,27.558037,21.459167,18.482067,10.39623,9.442449,10.067375,7.9066486,10.09706,9.350636,8.616085,7.380211,9.197769,0.2847782,0.4637843,0.38739046,0.3232909,0.49518177,0.4035531,0.52674764,0.42172405,0.5036701,0.62180287,0.36822614,0.42285538,0.22362085,0.3128654,0.2798866,0.23760018,0.30980927,0.23299734,0.32953063,0.27033064,0.29770648,0.3169456,0.22502565,0.33469793,1344.2910390827205,487.98179293805674,22.829262337073267,9.206718912656457,-0.02366761585480966,0.13855597507202497,0.15218186,0.06486556,0.06354944029850747,0.039159255926480514
